Ticker,Date,Close
AAL,2021-05-31,21.984333333333122
AAOI,2021-05-31,7.8206666666665825
AAON,2021-05-31,67.74566666666668
AAPL,2021-05-31,130.72766666666675
AAWW,2021-05-31,68.3333333333332
ABMD,2021-05-31,316.3769999999975
ABUS,2021-05-31,3.102999999997398
ACAD,2021-05-31,20.845999999997435
ACET,2021-05-31,13.651333333330772
ACGL,2021-05-31,39.980666666664135
ACHC,2021-05-31,61.497666666664216
ACIW,2021-05-31,39.50433333333074
ACLS,2021-05-31,42.070666666664074
ACRX,2021-05-31,1.2941800000678183
ADBE,2021-05-31,501.3523333333314
ADES,2021-05-31,5.0363333333313385
ADI,2021-05-31,155.8476666666647
ADP,2021-05-31,192.11533333333134
ADPT,2021-05-31,39.541666666664675
ADSK,2021-05-31,288.09099999999756
ADTN,2021-05-31,18.20333333333087
ADUS,2021-05-31,103.13566666666422
ADVM,2021-05-31,6.933333333330887
AEHR,2021-05-31,2.2646666666640147
AEIS,2021-05-31,107.41833333333072
AEP,2021-05-31,87.37366666666392
AGIO,2021-05-31,54.62299999999745
AGLE,2021-05-31,7.667999999997436
AGNC,2021-05-31,17.64533333333082
AGYS,2021-05-31,49.89599999999737
AHPI,2021-05-31,4.523333333330716
AIMC,2021-05-31,63.05633333332976
AKAM,2021-05-31,107.69366666666266
ALCO,2021-05-31,30.07633333332776
ALGN,2021-05-31,588.9469999999944
ALGT,2021-05-31,236.83733333332802
ALKS,2021-05-31,20.9896666666612
ALNY,2021-05-31,136.8759999999944
ALPN,2021-05-31,11.714666666661001
ALRM,2021-05-31,88.66699999999426
ALSK,2021-05-31,3.298666666660905
ALT,2021-05-31,13.137666666660843
ALTR,2021-05-31,65.0399999999941
ALXN,2021-05-31,165.17666666666062
AMAT,2021-05-31,131.87699999999396
AMBA,2021-05-31,97.55766666666071
AMCX,2021-05-31,50.29033333332736
AMD,2021-05-31,79.92299999999402
AMED,2021-05-31,271.696999999994
AMGN,2021-05-31,250.6419999999941
AMKR,2021-05-31,22.031999999994134
AMOT,2021-05-31,34.63099999999413
AMRK,2021-05-31,38.99466666666071
AMSC,2021-05-31,16.275666666660296
AMSWA,2021-05-31,20.2236666666603
AMWD,2021-05-31,100.81233333332708
AMZN,2021-05-31,662.8775934921686
ANDE,2021-05-31,29.0933333333279
ANGI,2021-05-31,15.102999999994362
ANIK,2021-05-31,41.1726666666611
ANSS,2021-05-31,355.11866666666083
AOSL,2021-05-31,30.869333333327724
APA,2021-05-31,19.296333333327656
APOG,2021-05-31,36.529333333327365
APPF,2021-05-31,139.50966666666065
APPS,2021-05-31,72.66033333332734
APVO,2021-05-31,25.011666666660815
ARAY,2021-05-31,4.89766666666074
ARCB,2021-05-31,76.77099999999412
ARLP,2021-05-31,5.934666666661106
ARRY,2021-05-31,26.05466666666113
ARVN,2021-05-31,64.9309999999945
ARWR,2021-05-31,68.59133333332785
ASPU,2021-05-31,5.2786666666608175
ASTC,2021-05-31,1.2941800000678183
ASYS,2021-05-31,10.76433333332749
ATNX,2021-05-31,4.2543333333274775
ATOM,2021-05-31,19.16999999999418
ATRO,2021-05-31,17.13033333332769
ATVI,2021-05-31,93.9919999999944
AVAV,2021-05-31,109.2399999999943
AVEO,2021-05-31,6.74266666666101
AVGO,2021-05-31,460.40599999999444
AVGR,2021-05-31,1.2941800000678183
AVNW,2021-05-31,32.87433333332758
AVT,2021-05-31,43.57199999999427
AVXL,2021-05-31,12.230666666660932
AWRE,2021-05-31,3.5249999999940456
AXGN,2021-05-31,19.838999999994087
AXON,2021-05-31,145.49533333332738
AXTI,2021-05-31,10.489666666660506
AZPN,2021-05-31,144.18033333332787
BBBY,2021-05-31,26.01199999999428
BBGI,2021-05-31,2.7409999999943024
BBSI,2021-05-31,72.22566666666084
BCOR,2021-05-31,15.559666666659105
BCPC,2021-05-31,125.95599999999237
BGCP,2021-05-31,5.592999999992233
BGNE,2021-05-31,315.9409999999925
BIIB,2021-05-31,270.4813333333259
BJRI,2021-05-31,58.516333333325896
BKNG,2021-05-31,662.8775934921686
BL,2021-05-31,112.40099999999224
BLCM,2021-05-31,3.298999999992178
BLDR,2021-05-31,48.96199999999222
BLFS,2021-05-31,33.05766666665893
BLKB,2021-05-31,69.99299999999201
BLUE,2021-05-31,29.286999999991963
BMRA,2021-05-31,4.540666666658622
BMRN,2021-05-31,78.26233333332534
BNFT,2021-05-31,14.009999999992111
BOOM,2021-05-31,53.59466666665864
BPMC,2021-05-31,94.80799999999188
BRID,2021-05-31,15.407999999991661
BRKS,2021-05-31,97.17566666673648
BSET,2021-05-31,29.764000000069764
BSQR,2021-05-31,2.6173333334030904
BTAI,2021-05-31,33.537666666736456
BYND,2021-05-31,125.67900000006979
CACC,2021-05-31,391.1650000000699
CAKE,2021-05-31,59.4910000000699
CALA,2021-05-31,2.1733333334033067
CALM,2021-05-31,38.35166666673663
CAMP,2021-05-31,12.321333333403324
CAR,2021-05-31,81.29733333340326
CARG,2021-05-31,25.53866666673664
CASI,2021-05-31,1.7303333334033406
CASY,2021-05-31,221.58300000007014
CBRL,2021-05-31,166.99000000006984
CCMP,2021-05-31,178.5056666667363
CCOI,2021-05-31,72.42200000006954
CCXI,2021-05-31,36.47033333340284
CDK,2021-05-31,53.93200000006955
CDNA,2021-05-31,73.48366666673624
CDNS,2021-05-31,135.59900000006957
CDW,2021-05-31,176.22366666673628
CDZI,2021-05-31,11.054000000069617
CELH,2021-05-31,55.249000000069444
CENT,2021-05-31,57.052666666736066
CERN,2021-05-31,75.10000000006988
