Ticker,ABCB,ABTX,AJX,ARI,AXP,BAC,BBT,BK,BOKF,C,CFG,CFR,CIT,CMA,CNND,COF,DFS,EWBC,FCNCA,FFIN,FHB,FITB,FMAO,FMBH,FNB,GBCI,GS,HBAN,HBHC,HOMB,HTH,IBKR,IBOC,ISBC,JPM,KEY,LARK,MBWM,MCBC,MS,MTB,NAVI,NKSH,NTRS,OPY,PACW,PBCT,PGC,PNC,PNFP,RF,SCHW,SFBC,SIVB,SLFC,SRCE,STBA,STT,SYF,TFSL,TSC,UMBF,USB,WAL,WFC,WSBC,ZION
ABCB,1.0,0.9996708935935474,0.9878076766779565,0.9094627730373629,0.9377726149945427,0.9905310904986904,0.9965457342963179,0.9886087328230875,0.9831493579608562,0.987735273364462,0.9986910109312328,0.993136071595425,0.9990007966990029,0.9975481185455005,0.9986114152484009,0.9909602687403131,0.9955301754089745,0.9988704172726662,0.9934226298810713,0.9842454398045573,0.9939507775994041,0.9889887915613458,0.9984241285370529,0.9982617905648783,0.9986673709794535,0.9935228649567671,0.9688964758691613,0.9967590473064513,0.9970470070227305,0.9991051976195002,0.9961614287834482,0.9871830669484739,0.9925239468169545,0.9987744562159218,0.9878332139637236,0.9904637518927178,0.9949501678361892,0.9995807066090059,0.9989833954001222,0.9470617364940663,0.9986591938725642,0.9942108134559893,0.9863122490745793,0.9886017362701375,0.8978068803563926,0.9951098553756484,0.9992858783708427,0.9991008619670343,0.9972185015702251,0.9994140531441691,0.9985567993014207,0.9436585466570605,0.9988087502302092,0.9820109174268046,0.9928006921368102,0.9990490215834584,0.9993311316435819,0.9877878466623264,0.9968765730576653,0.9986138970612412,0.9979808324305682,0.9915917466682395,0.9948824723162327,0.99858971510318,0.9930444033101203,0.9986783439184916,0.9976692669638881
ABTX,0.9996708935935474,0.9999999999999998,0.9887176887963235,0.915457268430338,0.9400735765564867,0.9928791078026467,0.9977025877203437,0.9908354624730511,0.9859720054057008,0.9903594913036234,0.9995034847411299,0.9950765924349908,0.999469690468652,0.9983633486930815,0.9987675284539264,0.9924830745266054,0.9954123685590252,0.9994197723944371,0.9951728282386265,0.9867449417177672,0.9958079675755812,0.9913312638661438,0.9990163791277883,0.9991334984593397,0.9995074967682618,0.9952192201074331,0.9728571496114484,0.9980186914325382,0.998361993197008,0.9993536458013266,0.994584879554392,0.9899070857882959,0.9938429138493202,0.999552424026677,0.9903623326141948,0.9926397213623895,0.9962055757514107,0.9996405868773042,0.999473079093426,0.9520240610162024,0.9981336832161388,0.9938790948799743,0.9888113936906254,0.9910058133134125,0.8907951228983677,0.9970865899957863,0.9998845607300102,0.9995432218769328,0.9981904060983692,0.9998994278357715,0.9993313399995457,0.9493137589788065,0.9983292566052432,0.985115644293676,0.9901818311669864,0.9994688307577407,0.9993325178779308,0.9902666316096751,0.9952082163941233,0.9984180636585709,0.9983034415637483,0.9936448599401824,0.996206414024708,0.9993043874757659,0.9948841794461407,0.9992429460977202,0.9987553149654371
AJX,0.9878076766779565,0.9887176887963235,0.9999999999999998,0.950235344682347,0.9503068622118258,0.9862071269504326,0.9916985133773597,0.986551261345943,0.9849263816387729,0.9840649915352218,0.9895281936483525,0.9877395590847434,0.9849653979405025,0.9851108341159965,0.9833455591595794,0.990837705923623,0.9807021813067902,0.9860984350708124,0.9854903005259963,0.98961097226657,0.990388605474018,0.9870635484573612,0.990132438371916,0.9901515827897718,0.9910710416921489,0.9906955923785769,0.9727603638897779,0.9877203123150297,0.9881350520571895,0.9924513851203506,0.9856037708994612,0.9803129461156651,0.9910407523658725,0.9875186831241256,0.983541488989606,0.9869045791765954,0.988866851000961,0.984577146461125,0.984829284765206,0.9587826230966116,0.9820603534414662,0.9672418967750839,0.988345640451246,0.9826799110111449,0.8992506109121826,0.9865318618600786,0.9886348544096069,0.9840348155825844,0.9889787478320883,0.9904513697597727,0.9895731782958164,0.9572099264860586,0.9806237384602142,0.9800040496292511,0.9814365856599189,0.9895179268535609,0.9868174183504463,0.9840418130232994,0.9820245880714844,0.9823779235410407,0.9789383381932718,0.9864050386158222,0.9860033844054276,0.986074437292903,0.9861678069708746,0.993287200819201,0.9869912531037857
ARI,0.9094627730373629,0.915457268430338,0.950235344682347,1.0000000000000002,0.968983800297852,0.9465947996305321,0.9380578319305355,0.950607059457598,0.9597003403191859,0.9491975057474831,0.9251161619746677,0.9418755200692877,0.912827028818276,0.9157131688014304,0.9102488688071375,0.9496417269390017,0.9083845564358944,0.9129604758333397,0.9364949310022905,0.963280062427403,0.945031202945116,0.9500320580683541,0.9228358426473803,0.928570065949789,0.9273329580434985,0.9464783746890633,0.9661715783415086,0.931608245564993,0.9304363128846834,0.9219204892517415,0.9124944623003005,0.9443871587996102,0.9368354527550967,0.9196848678858552,0.9484169682702069,0.947234898466976,0.9396724737807877,0.9061259744576015,0.9127743656165456,0.9775413816788787,0.892766800473515,0.8697674796398736,0.9541033417375064,0.9451160013896456,0.8439390308187469,0.9234782966972199,0.9190570549540942,0.9082902566536926,0.9265613196795478,0.91966880418118,0.9266303347568826,0.9807972472706913,0.8912283701067716,0.9561121237043206,0.9014237603825607,0.9208149767938896,0.9058071945743811,0.9492872600959558,0.8977523992385531,0.8930787962449784,0.8963770475663372,0.9446100320654255,0.9293484454620575,0.9188764294306271,0.9384249882713882,0.9262301122302242,0.9249010206712514
AXP,0.9377726149945427,0.9400735765564867,0.9503068622118258,0.968983800297852,1.0,0.9680173277918412,0.9598001506397458,0.9733184236609249,0.9783642845563341,0.9712702374764934,0.9490956863171287,0.9645502108669999,0.9415572755630537,0.9458919802561252,0.9452682354894208,0.9721170066145949,0.9497534956421387,0.9412625626859957,0.9634009668722854,0.9776907481748799,0.9630821967907378,0.9713651361760597,0.9487328885423085,0.9525429410689755,0.9483475661532932,0.9662744159398416,0.9846278313220762,0.9558661980906993,0.9543994461401881,0.9441159887354318,0.9529103635423359,0.9665725597217804,0.9592323520452822,0.945759158522855,0.9717001598338801,0.9698163627231343,0.9648884996322005,0.9354592608112979,0.9399666769580513,0.990080206778925,0.9263033275009818,0.9084507513162331,0.9721597326652814,0.9704211203631977,0.9247400387809466,0.937675686944586,0.9428126840500011,0.9370506333733709,0.9528959364599484,0.9421460827024906,0.9509343683512095,0.9857696101098667,0.924804352656393,0.9768591908446325,0.9458724203476356,0.9478291479599891,0.9333044649915628,0.9726699061051552,0.940313211000045,0.921179905884685,0.9271646639386547,0.9680933251925644,0.9586207855462023,0.9445645344695555,0.9644051006784338,0.9458203503430175,0.9515307494352279
BAC,0.9905310904986904,0.9928791078026467,0.9862071269504326,0.9465947996305321,0.9680173277918412,1.0,0.9981398397114101,0.9995885266439972,0.9984551966994942,0.9997817005950588,0.9960784647346146,0.9997632341606859,0.9934393677463619,0.9951995582459789,0.9938429286859393,0.998346537934412,0.9923614244028369,0.9939484061534889,0.999470991659287,0.9975930112478665,0.9991958258625293,0.9996671482517923,0.9952999822801105,0.9968501161170549,0.9956432955647814,0.9992991845477613,0.9933719015835132,0.9979378103584831,0.9978690508211004,0.9930423239627157,0.9878013579712958,0.9986771281932182,0.9958957752506968,0.995502726431582,0.9997631141364874,0.9998919850892208,0.9989450441886725,0.9912055466468195,0.9932330373326327,0.9811767483988927,0.9866463585551998,0.9800233843293169,0.9982107200894651,0.999736119663959,0.889027479404254,0.9932683004772372,0.9941459232643709,0.9925177311407005,0.9969074296878743,0.9936180393540177,0.996304143224726,0.9793289547215515,0.98645822864664,0.998484159962291,0.9804128767118031,0.9949976034394045,0.99007432198831,0.9997214209713405,0.9853376825515276,0.9859506287454158,0.9890857438952348,0.9999241009800345,0.9981340561041232,0.9947773749346117,0.9995458011359315,0.9938482514311011,0.9972219153526377
BBT,0.9965457342963179,0.9977025877203437,0.9916985133773597,0.9380578319305355,0.9598001506397458,0.9981398397114101,0.9999999999999997,0.9973711803785238,0.9947107246903663,0.9967865219038615,0.9992379884927101,0.9990696075244323,0.9973733617959815,0.9975594345630665,0.9972082554805012,0.9981213756278279,0.994981862042219,0.9975141179921293,0.9987129515770093,0.99526508388561,0.9994858965367214,0.9975288333109429,0.9986705467040118,0.9995980200005538,0.9991937234259067,0.9994749830691292,0.9856277388418715,0.9994487488515572,0.9994528189754689,0.9980528092679031,0.9940103841041493,0.9956753560751106,0.996955830653753,0.9985968297758707,0.9967810953076393,0.9981671288994538,0.9995952063259874,0.9962518143512263,0.9972157670625614,0.9701191536254639,0.9929896088045996,0.9859648390974214,0.9958744777126608,0.9969118135882546,0.8985562412117863,0.9958668913033574,0.9982718120426397,0.9966508783863725,0.9989382162406311,0.9982049340096361,0.9993870608365583,0.9677005338538053,0.9928117951874145,0.9937549726463857,0.9885120451076466,0.9987252315861013,0.9956837855931225,0.9968185028970816,0.9921675866792472,0.9925877637023859,0.9937185584846928,0.998536833254804,0.9984471736041749,0.9980975698676385,0.9987082434646685,0.9984651671610896,0.999119483147612
BK,0.9886087328230875,0.9908354624730511,0.986551261345943,0.950607059457598,0.9733184236609249,0.9995885266439972,0.9973711803785238,1.0,0.9993725459591196,0.9997201998368226,0.9944653044467042,0.9992165769080077,0.9911263224136799,0.9938521419816675,0.992289121416738,0.9990908776350286,0.9919590062158278,0.9921558472051253,0.9988926014178899,0.9987760137035097,0.9983441473802263,0.9999264608481293,0.9943175093164355,0.995563225147219,0.9939950357439589,0.9989096890766119,0.9950333357843598,0.9964261724662109,0.9963912070813792,0.9918302185998762,0.987864802300603,0.99761149870193,0.9964536675327449,0.9937380556036389,0.9997037909231796,0.9998445467689597,0.9984350851998723,0.9887851200113785,0.990749285291328,0.9841571332721762,0.9844666021963127,0.9758750263820121,0.9991680359015885,0.9995458019151199,0.8973213346438611,0.9903661666921315,0.992069114470028,0.9900482002642497,0.9960913855605876,0.9918183061425053,0.9947547427752353,0.9817209366101365,0.9838198472550774,0.9987290047834659,0.9808309200516033,0.9937683944266522,0.9880854763501559,0.999817471494991,0.9847162639341747,0.9830575649920504,0.9858485819655797,0.9995550992265753,0.9976532502497192,0.9925354820859875,0.9990720104319767,0.9925275309772293,0.9957134096087599
BOKF,0.9831493579608562,0.9859720054057008,0.9849263816387729,0.9597003403191859,0.9783642845563341,0.9984551966994942,0.9947107246903663,0.9993725459591196,1.0000000000000002,0.999140548812487,0.9905649357882026,0.9974351328365553,0.9862184461257288,0.9895884985036583,0.987357371090575,0.9980692496415737,0.9873969993152595,0.9873907679176097,0.9967202126260463,0.999394182613509,0.9965395660665655,0.999244311423054,0.9903548737535648,0.9920099220288684,0.9901984735152759,0.9972775302030279,0.9976106189214663,0.993279392187032,0.9932118198041965,0.9875146304021908,0.9829251328191562,0.9965105188610576,0.9943383660748119,0.9894744685501435,0.9990469457478163,0.99878022365983,0.9961577654686586,0.9832073006947782,0.9857730644610462,0.9894641860740588,0.9779494367374117,0.9679431697956267,0.9990745251606863,0.9985800819428085,0.8943382196555206,0.9866705538975598,0.987547152370928,0.9847946107884208,0.992658462740743,0.9873151650661887,0.9909648072425371,0.9875000705148317,0.9771273040800685,0.9992087133321452,0.9751709722422369,0.9895320884874114,0.9825555941212827,0.9992301668353754,0.9787298525389782,0.9764671996567861,0.9796989656124454,0.9981521433190657,0.9948095139910917,0.9881068094034361,0.997100898491413,0.9885809404964101,0.9920474322240516
C,0.987735273364462,0.9903594913036234,0.9840649915352218,0.9491975057474831,0.9712702374764934,0.9997817005950588,0.9967865219038615,0.9997201998368226,0.999140548812487,1.0000000000000002,0.9941457627580456,0.9991995854683737,0.9911378750564949,0.9936537189543982,0.9919346079325495,0.998081501776847,0.9911640910553848,0.9918942821247028,0.9989363321159229,0.9979250621539237,0.9982111727050771,0.9997487998392063,0.9935357305732202,0.9951121847666562,0.9935574740861783,0.9984869825061171,0.9953785488772118,0.996465789409578,0.9964298317090519,0.9907240757830663,0.9855823926621233,0.9985471798414259,0.9952537586923382,0.9935533860014355,0.9999725614304436,0.9997643505075116,0.9979919958126039,0.9885307940988596,0.9907917075782238,0.9844252126641139,0.9837760419272966,0.9766748276964186,0.9985562158229344,0.9998653127205588,0.8886502782469582,0.991133290657185,0.9917959637803792,0.9900946846385202,0.9955630782674323,0.9912317452159514,0.9944009023097345,0.9825043424776065,0.9834178786527746,0.9992164633119776,0.9778824977573176,0.993052531814292,0.9874394544386355,0.99994943250091,0.9829078017361847,0.9827313248907187,0.9863044964514872,0.9995917758806345,0.9973948223316451,0.9925745987992795,0.9990875479653432,0.9916066355567834,0.9956849406912262
